Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Grenada,Americas,13565,12055.313,192,170.632,39,214,190.183,0,0,0
Guernsey,Europe,13503,20945.275,665,1031.52,297,31,48.086,0,0,0
Gambia,Africa,11924,493.407,0,0,0,365,15.103,0,0,0
Yemen,Eastern Mediterranean,11746,39.382,47,0.158,5,2124,7.121,14,0.047,1
Greenland,Europe,11645,20511.872,145,255.408,0,13,22.899,3,5.284,0
Liechtenstein,Europe,11467,29594.549,481,1241.386,0,74,190.983,1,2.581,0
Bermuda,Americas,11423,18343.423,177,284.232,107,123,197.517,2,3.212,1
Dominica,Americas,10953,15214.402,284,394.494,201,57,79.177,3,4.167,0
Bhutan,South-East Asia,10514,1362.609,2217,287.322,318,6,0.778,1,0.13,0
Saint Martin,Americas,9790,25323.987,58,150.03,0,44,113.816,0,0,0
Eritrea,Africa,9689,273.205,10,0.282,0,103,2.904,0,0,0
Sint Maarten,Americas,9533,22230.773,37,86.283,7,85,198.218,1,2.332,0
Monaco,Europe,9267,23613.801,182,463.765,50,51,129.956,1,2.548,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,8882,15431.659,1136,1973.696,171,27,46.91,2,3.475,1
Niger,Africa,8745,36.126,21,0.087,2,306,1.264,3,0.012,0
Saint Vincent and the Grenadines,Americas,8301,7482.423,39,35.154,4,106,95.547,3,2.704,1
Comoros,Africa,8021,922.377,16,1.84,0,160,18.399,0,0,0
Guinea-Bissau,Africa,7953,404.116,75,3.811,46,166,8.435,2,0.102,0
Sierra Leone,Africa,7663,96.064,11,0.138,0,125,1.567,0,0,0
Antigua and Barbuda,Americas,7408,7564.664,66,67.396,0,135,137.855,1,1.021,0
Liberia,Africa,7360,145.521,0,0,0,290,5.734,0,0,0
Chad,Africa,7248,44.126,32,0.195,0,190,1.157,0,0,0
Bonaire,Americas,6894,32961.989,82,392.063,3,28,133.875,0,0,0
British Virgin Islands,Americas,6074,20087.972,77,254.655,24,62,205.047,1,3.307,0
Solomon Islands,Western Pacific,5968,868.851,1056,153.738,77,85,12.375,20,2.912,2
Sao Tome and Principe,Africa,5930,2705.798,10,4.563,0,72,32.853,1,0.456,0
Turks and Caicos Islands,Americas,5846,15098.92,18,46.49,0,36,92.98,1,2.583,0
Saint Kitts and Nevis,Americas,5523,10383.14,18,33.84,0,42,78.959,2,3.76,0
Saint Barthélemy,Americas,3684,37268.589,51,515.933,0,4,40.465,0,0,0
Palau,Western Pacific,3627,20047.535,324,1790.847,64,6,33.164,2,11.055,0
Kiribati,Western Pacific,2861,2395.164,196,164.087,14,11,9.209,3,2.512,0
Anguilla,Americas,2528,16851.087,31,206.639,22,9,59.992,0,0,0
Saint Pierre and Miquelon,Americas,981,16928.387,16,276.1,0,1,17.256,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,453,4028.099,0,0,0,7,62.244,0,0,0
Sint Eustatius,Americas,450,14335.776,15,477.859,9,3,95.572,0,0,0
Tonga,Western Pacific,254,240.314,113,106.911,0,0,0,0,0,0
Saba,Americas,208,10760.476,5,258.665,0,0,0,0,0,0
Montserrat,Americas,163,3260.652,0,0,0,2,40.008,0,0,0
Falkland Islands (Malvinas),Americas,105,3014.643,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,72,130.442,15,27.175,12,0,0,0,0,0
Samoa,Western Pacific,33,16.632,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,15,4.884,8,2.605,0,0,0,0,0,0
Cook Islands,Western Pacific,6,34.161,5,28.467,2,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
